,title,price,location,shop_name,rating,product_img_url,product_detail_url
833,Sepatu Pria - Pharrell Williams x Adidas NMD Hu Solar Yellow - PRM,630000,Kab. Tangerang,csneakers,0,https://ecs7.tokopedia.net/img/cache/200-square/attachment/2018/10/9/153906748376249/153906748376249_0ba4d10b-7b7b-47b5-8d42-e3ed7303eae1.png,https://ta.tokopedia.com/promo/v1/clicks/HAtaHsnNHAUa6Ath6sJEH_1p6_1dH_KOH_t7HAnEHAtFbsnpo_JRop2B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-P7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-Q1uE_uzV81NIZMWHu720_uzgPJNJu_-v1pVt_MOuHJh11_zo8jjp_uzjqJOWuM2oq1BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-q1BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjVO_OzoH1O1yp-68jjp_32so1Y13_oo17BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjVO_OzoH1O1yp-68jjp_32so1Y13_oo17tN6iHsHBuvQ7gA_VB3r9xSQRgJy_zIP7gjeRokocYHZ3N_eu23qj-MzjjFrIoZ1S2CqJujr7uIQc-D_JxEZ9xMoV-x_p1WZ31Wg9PNQAxqH_CobuouejUW3Vjdu_zxqMyFojVJy92MrACiH7Wcru2AZ1jO11WqgJzD_ACZ1MOtHOoCrMupUF?t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fgudangbubu%2Fadidas-yeezy-350-boost-v2-black-copper-bnib-brand-new-include-box-10%3Fsrc%3Dtopads&ob=5&post_alg=cpc_shop_unq&n_candidate_ads=828&number_of_ads=10&alg=stm&ab_test=N&keywords=yeezy&page=24&number_ads_req=10&dep_ids=1759%2C1800%2C1845&src=search&is_search=1
834,SEPATU IMPORT NIKE RUNNING SPORT JOGGING VEGAS TERLARIS,165000,Kab. Bandung,kujang 1,7,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/9/24/1722311/1722311_50cf3036-c6bc-481d-8a5b-e4b4fdbcc82d_1280_1280.jpeg,https://ta.tokopedia.com/promo/v1/clicks/HAtaHsnNHAUa6Ath6sJEH_1p6_1dH_KOH_t7HAnEHAtFbsnpo_JRop2B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-P7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-Q1uE_uzV81NIZMWHu720_uzgPJNJu_-v1pVt_MOuHJh11_zo8jjp_uzjqJOWuM2oq1BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-q1BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjVO_OzoH1O1yp-68jjp_32so1Y13_oo17BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjVO_OzoH1O1yp-68jjp_32so1Y13_oo17tN6iHsHBuvQ7gA_VB3r9xSQRgJy_zIP7gjeRokocYHZ3N_eu23qj-MzjjFrIoZ1S2CqJujr7uIQc-D_JxEZ9xMoV-x_p1WZ31Wg9PNQAxqH_CobuouejUW3Vjdu_zxqMyFojVJy92MrACiH7Wcru2AZ1jO11WqgJzD_ACZ1MOtHOoCrMupUF?t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fgudangbubu%2Fadidas-yeezy-350-boost-v2-black-copper-bnib-brand-new-include-box-10%3Fsrc%3Dtopads&ob=5&post_alg=cpc_shop_unq&n_candidate_ads=828&number_of_ads=10&alg=stm&ab_test=N&keywords=yeezy&page=24&number_ads_req=10&dep_ids=1759%2C1800%2C1845&src=search&is_search=1
835,SEPATU PRIA SPORT REEBOK CLASSIC,165500,Kota Bandung,gyshel sneakers,7,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/6/26/248520671/248520671_83426bc5-96b3-497a-9e9f-431f7af2353a_700_700.jpg,https://ta.tokopedia.com/promo/v1/clicks/HAtaHsnNHAUa6Ath6sJEH_1p6_1dH_KOH_t7HAnEHAtFbsnpo_JRop2B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-P7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-Q1uE_uzV81NIZMWHu720_uzgPJNJu_-v1pVt_MOuHJh11_zo8jjp_uzjqJOWuM2oq1BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-q1BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjVO_OzoH1O1yp-68jjp_32so1Y13_oo17BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjVO_OzoH1O1yp-68jjp_32so1Y13_oo17tN6iHsHBuvQ7gA_VB3r9xSQRgJy_zIP7gjeRokocYHZ3N_eu23qj-MzjjFrIoZ1S2CqJujr7uIQc-D_JxEZ9xMoV-x_p1WZ31Wg9PNQAxqH_CobuouejUW3Vjdu_zxqMyFojVJy92MrACiH7Wcru2AZ1jO11WqgJzD_ACZ1MOtHOoCrMupUF?t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fgudangbubu%2Fadidas-yeezy-350-boost-v2-black-copper-bnib-brand-new-include-box-10%3Fsrc%3Dtopads&ob=5&post_alg=cpc_shop_unq&n_candidate_ads=828&number_of_ads=10&alg=stm&ab_test=N&keywords=yeezy&page=24&number_ads_req=10&dep_ids=1759%2C1800%2C1845&src=search&is_search=1
836,Sepatu Pria - Nike Air Vapormax Flyknit Moc 2 Black Light Cream - PRM,560000,Kab. Tangerang,csneakers,0,https://ecs7.tokopedia.net/img/cache/200-square/attachment/2018/10/1/153841251092962/153841251092962_c5c0095b-d2c0-4e4a-a3bd-fe2acc67b0dc.png,https://ta.tokopedia.com/promo/v1/clicks/HAtaHsnNHAUa6Ath6sJEH_1p6_1dH_KOH_t7HAnEHAtFbsnpo_JRop2B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-P7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-Q1uE_uzV81NIZMWHu720_uzgPJNJu_-v1pVt_MOuHJh11_zo8jjp_uzjqJOWuM2oq1BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-q1BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjVO_OzoH1O1yp-68jjp_32so1Y13_oo17BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjVO_OzoH1O1yp-68jjp_32so1Y13_oo17tN6iHsHBuvQ7gA_VB3r9xSQRgJy_zIP7gjeRokocYHZ3N_eu23qj-MzjjFrIoZ1S2CqJujr7uIQc-D_JxEZ9xMoV-x_p1WZ31Wg9PNQAxqH_CobuouejUW3Vjdu_zxqMyFojVJy92MrACiH7Wcru2AZ1jO11WqgJzD_ACZ1MOtHOoCrMupUF?t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fgudangbubu%2Fadidas-yeezy-350-boost-v2-black-copper-bnib-brand-new-include-box-10%3Fsrc%3Dtopads&ob=5&post_alg=cpc_shop_unq&n_candidate_ads=828&number_of_ads=10&alg=stm&ab_test=N&keywords=yeezy&page=24&number_ads_req=10&dep_ids=1759%2C1800%2C1845&src=search&is_search=1
837,Adidas Yeezy 350 V2 Cream White By Kanye West,Rp 6.100.000,Jakarta,Monster_sneakers,1,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2017/5/24/5330079/5330079_30a88afc-6fe4-4a5a-b638-1d45dae8e425.jpg,https://www.tokopedia.com/monster-sneakers/adidas-yeezy-350-v2-cream-white-by-kanye-west-1?trkid=f%3DCa0000L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D24_ob%3D5_q%3Dyeezy_po%3D1_catid%3D1845&lt=%2Fsearchproduct%20-%20p277%20-%20product
838,ADIDAS YEEZY BOOST KIDS LED,Rp 395.000,Jakarta,footgoodz,1,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/1/29/1330136/1330136_4c83316a-3ebc-497c-9cb9-f2d17435369e,https://www.tokopedia.com/footgoodz/adidas-yeezy-boost-kids-led?trkid=f%3DCa0000L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D24_ob%3D5_q%3Dyeezy_po%3D5_catid%3D1996&lt=%2Fsearchproduct%20-%20p277%20-%20product
839,Adidas Yeezy V2 350 BUTTER,Rp 4.950.000,Jakarta,6th sense of fashion,1,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/8/11/20644210/20644210_05a78083-be5d-411a-8341-ccb959a4cc6d_1773_2364.jpg,https://www.tokopedia.com/6thsof/adidas-yeezy-v2-350-butter?trkid=f%3DCa0000L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D24_ob%3D5_q%3Dyeezy_po%3D7_catid%3D1845&lt=%2Fsearchproduct%20-%20p278%20-%20product
840,Sepatu Adidas Yeezy Kids / Anak Baby Bayi Laki-laki Perempuan  Lucu,Rp 165.000,Jakarta,Polyphia,1,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/5/11/0/0_ce3d7fab-e3b0-47ff-9b93-6f86e0a05957_1080_607.jpg,https://www.tokopedia.com/polyphia/sepatu-adidas-yeezy-kids-anak-baby-bayi-laki-laki-perempuan-lucu-6?trkid=f%3DCa0000L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D24_ob%3D5_q%3Dyeezy_po%3D15_catid%3D381&lt=%2Fsearchproduct%20-%20p279%20-%20product
841,Kaos matching sneaker sepatu adidas yeezy zebra kanye skin head SPLY,Rp 190.000,Jakarta,Sneakerhead Apparel,1,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2017/8/30/16968503/16968503_07defcaf-81b9-492e-b047-12e79e8148fe.jpg,https://www.tokopedia.com/sneakerhead-app/kaos-matching-sneaker-sepatu-adidas-yeezy-zebra-kanye-skin-head-sply?trkid=f%3DCa0000L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D24_ob%3D5_q%3Dyeezy_po%3D16_catid%3D1769&lt=%2Fsearchproduct%20-%20p280%20-%20product
842,Sepatu Adidas Yeezy SPLY 350 Hitam LIst Coklat Sol Hitam,Rp 165.000,Kota Bandung,Laavoila,1,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2017/9/13/2292046/2292046_52f05583-d90a-4441-bc35-dbf8ca56ba14_1208_768.jpg,https://www.tokopedia.com/laavoila/sepatu-adidas-yeezy-sply-350-hitam-list-coklat-sol-hitam?trkid=f%3DCa0000L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D24_ob%3D5_q%3Dyeezy_po%3D18_catid%3D1845&lt=%2Fsearchproduct%20-%20p280%20-%20product
